"time,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_1_mean,tag_2_mean,tag_3_mean,tag_4_mean,tag_5_mean,tag_6_mean,tag_7_mean,tag_8_mean,tag_9_mean,tag_10_mean,tag_11_mean,tag_12_mean,tag_13_mean,tag_14_mean,tag_15_mean,tag_16_mean,tag_17_mean,tag_18_mean,tag_19_mean,tag_20_mean"
"2022-04-27 04:44:01,0.0,0.0,55.0,55.0,90.87999725341797,189.15625003199997,163.69531206399998,34.335937312,36.859374992,34.484374928,37.593749968,0.0,0.14400002582769775,0.14400002582769775,81.25,81.03125,168.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:02,0.0,0.0,55.0,54.95312496,90.87999725341797,189.65625003199997,156.812499552,31.070312304,36.617187488,32.53906232,37.117187488,0.0,0.6239999808480224,0.6239999808480224,81.239746092,81.03125,216.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:03,0.0,0.0,55.0,54.234374976,90.87999725341797,189.99218750400001,149.835937072,28.226562336,36.5,29.890624864,37.0,0.0,0.0,0.0,81.219238281,81.02978515500001,0.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:04,0.0,0.0,55.0,54.04687504,91.60000077638648,189.671874944,143.24218710399998,25.554687312000002,36.5,27.710937344,37.0,0.0,0.0,0.0,81.208496092,81.00732421800001,0.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:05,0.0,0.0,55.0,54.765625024,92.16000366210938,189.015624992,137.195312176,22.890624864000003,36.5,25.546874896,37.0,0.0,0.14400002582769775,0.14400002582769775,81.187988281,80.99853515500001,168.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:06,0.0,0.0,55.0,55.0,92.16000366210938,188.671874944,132.39062475199998,20.874999872000004,36.5,23.867187376000004,37.0,0.0,0.6239999808480224,0.6239999808480224,81.1875,80.977539063,216.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:07,0.0,0.0,55.0,55.0,92.16000366210938,187.687499936,128.726562336,18.874999872000004,36.5,21.874999872000004,37.0,0.0,0.0,0.0,81.1875,80.99267578199999,0.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:08,0.0,0.0,55.0,55.0,92.16000366210938,187.015624992,126.445312432,17.0390624,36.5,20.203124928,37.0,0.0,0.0,0.0,81.1875,80.99853515500001,0.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:09,0.0,0.0,55.0,55.0,92.16000366210938,186.83593747199998,125.617187488,15.531249904000001,36.5,19.187499936,37.0,0.0,0.14400002582769775,0.14400002582769775,81.1875,80.97607421800001,168.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
"2022-04-27 04:44:10,0.0,0.0,55.0,55.0,92.16000366210938,186.17968743999998,125.54687504,14.031249904000001,36.5,18.187499936,37.0,0.0,0.6239999808480224,0.6239999808480224,81.1875,80.96875,216.0,100.0,14.0,13.0,-7.8479999774720115,-7.647999989760006,55.728,55.42990624992,93.02560263124123,152.072656242784,199.493312506368,1.3810937455360002,36.569765625024004,7.658843746304,37.030421874911994,0.0,0.19200000166893005,0.19200000166893005,80.992618164022,80.970785156238,96.0,100.0,13.121374999872,13.096"
